OTU ID	P1	P2	P3	P4	S1	S2	S3	S4	SP1	SP2	SP3	SP4
OTU51	0.0203612822386969	0.000730917823953221	0.000487278549302148	0.000313250495979952	0.00163586370122864	0.000487278549302148	0.00118339076259093	0.00643903797292123	0.00107897393059761	0.000661306602624343	0.000174028053322196	0.000208833663986635
OTU52	0.00278444885315513	0.0022275590825241	0.00372420034109498	0.00285406007448401	0.00187950297587971	0.0032021161811284	0.0046291462183704	0.00247119835717518	0.00104416831993317	0.00330653301312172	0.00452472938637708	0.00299328251714176
OTU53	0.00309769934913508	0.00334133862378615	0.00198391980787303	0.00254080957850405	0.00107897393059761	0.00281925446381957	0.00309769934913508	0.00198391980787303	0.00233197591451742	0.0038286171730883	0.00466395182903484	0.0054296752636525
OTU54	0.00292367129581289	0.00330653301312172	0.00800529045282099	0.00372420034109498	0.00236678152518186	0.00250600396783962	0.00379381156242386	0.00309769934913508	0.00281925446381957	0.001427030037242	0.00156625247989976	0.000939751487939856
OTU55	0.0022275590825241	0.00424628450106157	0.00313250495979952	0.00407225644773938	0.00184469736521527	0.00194911419720859	0.00212314225053079	0.00107897393059761	0.00292367129581289	0.00361978350910167	0.00375900595175942	0.00396783961574606
OTU56	0.00299328251714176	0.000661306602624343	0.000348056106644391	0.00330653301312172	0.00299328251714176	0.000730917823953221	6.96112213288782e-05	0.012286380564547	0.00817931850614319	0.000452472938637708	0.000208833663986635	0.00156625247989976
OTU57	0.000835334655946539	0.00274964324249069	0.00135741881591313	0.00727437262886777	0.000661306602624343	0.00254080957850405	0.00180989175455083	0.00417667327973269	0.00229717030385298	0.00236678152518186	0.00536006404232362	0.00191430858654415
OTU58	0.00295847690647732	0.00167066931189308	0.00254080957850405	0.0046291462183704	0.00379381156242386	0.00375900595175942	0.00379381156242386	0.00194911419720859	0.00268003202116181	0.00156625247989976	0.00174028053322196	0.00177508614388639
OTU59	0.00250600396783962	0.00261042079983293	0.00330653301312172	0.00414186766906825	0.00076572343461766	0.00215794786119522	0.00306289373847064	0.00215794786119522	0.00379381156242386	0.00254080957850405	0.00174028053322196	0.00414186766906825
OTU60	0.00076572343461766	0.00306289373847064	0.000661306602624343	0.00139222442657756	0.00114858515192649	0.0022275590825241	0.00264522641049737	0.000904945877275417	0.0016010580905642	0.0060561762556124	0.0104416831993317	0.0016010580905642
OTU61	0.00334133862378615	0.0022275590825241	0.00316731057046396	0.00254080957850405	0.00156625247989976	0.00309769934913508	0.00379381156242386	0.00177508614388639	0.00132261320524869	0.00285406007448401	0.00341094984511503	0.00247119835717518
OTU62	0.00268003202116181	0.0032021161811284	0.00233197591451742	0.00288886568514845	0.00128780759458425	0.00316731057046396	0.00243639274651074	0.000591695381295465	0.00358497789843723	0.00407225644773938	0.00177508614388639	0.00365458911976611
OTU63	0.00163586370122864	0.00187950297587971	0.00424628450106157	0.00476836866102816	0.000626500991959904	0.00132261320524869	0.000626500991959904	0.000348056106644391	0.00261042079983293	0.00153144686923532	0.00497720232501479	0.0062302043089346
OTU64	0.000556889770631026	0.00619539869827016	0.00180989175455083	0.00250600396783962	0.000487278549302148	0.00076572343461766	0.000904945877275417	0.000278444885315513	0.00177508614388639	0.00609098186627684	0.00261042079983293	0.00755281751418329
OTU65	0.00198391980787303	0.00313250495979952	0.00250600396783962	0.00421147889039713	0.00100936270926873	0.00125300198391981	0.00163586370122864	0.000626500991959904	0.00368939473043055	0.00375900595175942	0.00254080957850405	0.00515123037833699
OTU66	0.00532525843165918	0.00198391980787303	0.00261042079983293	0.00316731057046396	0.00341094984511503	0.00316731057046396	0.00386342278375274	0.00201872541853747	0.00139222442657756	0.00139222442657756	0.00191430858654415	0.00132261320524869
OTU67	0.00396783961574606	0.00236678152518186	0.00341094984511503	0.00435070133305489	0.00201872541853747	0.0024015871358463	0.00285406007448401	0.00128780759458425	0.00198391980787303	0.00163586370122864	0.00208833663986635	0.00257561518916849
OTU68	0.0016010580905642	0.000904945877275417	0.00118339076259093	0.00167066931189308	0.00306289373847064	0.0048031742716926	0.00455953499704152	0.00348056106644391	0.00128780759458425	0.0038286171730883	0.0032021161811284	0.000800529045282099
OTU69	0.00212314225053079	0.00205353102920191	0.00278444885315513	0.00285406007448401	0.00198391980787303	0.00268003202116181	0.00361978350910167	0.00149664125857088	0.00205353102920191	0.00236678152518186	0.00295847690647732	0.0022275590825241
OTU70	0.00208833663986635	0.00316731057046396	0.0022275590825241	0.00201872541853747	0.00177508614388639	0.00271483763182625	0.001427030037242	0.00125300198391981	0.00111377954126205	0.00469875743969928	0.00323692179179284	0.00334133862378615
OTU71	0.0022275590825241	0.00187950297587971	0.00198391980787303	0.00355017228777279	0.00250600396783962	0.00292367129581289	0.00341094984511503	0.00156625247989976	0.00139222442657756	0.00268003202116181	0.00191430858654415	0.00226236469318854
OTU72	0.000626500991959904	0.00229717030385298	0.000974557098604295	0.00361978350910167	0.00149664125857088	0.000904945877275417	0.000452472938637708	0.000556889770631026	0.00125300198391981	0.00403745083707494	0.00167066931189308	0.00929309804740524
OTU73	0.00104416831993317	0.00174028053322196	0.00170547492255752	0.00323692179179284	0.00111377954126205	0.00372420034109498	0.00292367129581289	0.00330653301312172	0.00358497789843723	0.00233197591451742	0.0030280881278062	0.000904945877275417
OTU74	0.00132261320524869	0.00212314225053079	0.00295847690647732	0.00316731057046396	0.000139222442657756	0.000974557098604295	0.00212314225053079	0.000939751487939856	0.00139222442657756	0.00351536667710835	0.0024015871358463	0.00497720232501479
OTU75	0.00156625247989976	0.00177508614388639	0.00285406007448401	0.00334133862378615	0.000939751487939856	0.00146183564790644	0.00125300198391981	0.000870140266610978	0.00250600396783962	0.00236678152518186	0.00292367129581289	0.00476836866102816
